EmployeeID,Name,Age,Gender,Department,JobTitle,City,Education,YearsOfExperience,Salary,Bonus,PerformanceScore,PerformanceRating,JoiningDate,Email,Phone
EMP11887,Juan Liu,46.0,female,customer support,UX Designer,Montreal,B.E,37.0,307090.0,77753.0,6.1,,2012-07-18,juan.liu8637@hotmail.com,5920093558
EMP12661,Ashley Sanchez,39.0,other,Sales,ux designer,Dubai,diploma,35.0,4810444.0,29573.0,3.8,Poor,2015-08-23,ashley.sanchez8575@gmail.com,0449253331
EMP10103,Emily Zhou,52.0,OTHER,Human Resources,Operations Manager,Melbourne,B.Tech.,0.0,4077135.0,294065.0,9.7,Poor,2005-05-30,emily.zhou4512@outlook.com,3018895813
EMP14666,Sara Gonzalez,42.0,Female,MARKETING,Project Manager,Hyderabad,bba,20.0,4358029.0,332674.0,9.2,good,,sara.gonzalez4146@yahoo.com,1812240627
EMP14856,Lucas Shah,45.0,F,OPERATIONS,operations manager,Jeddah,MBBS,14.0,1790903.0,255103.0,3.1,good,2024-06-03,lucas.shah4602@outlook.com,1943388368
EMP10694,Ravi Farooq,58.0,female,R&D,Data Scientist,Tokyo,Diploma,13.0,4688208.0,75638.0,6.0,Good,2007-10-10,ravi.farooq782@yahoo.com,9239359203
EMP12582,Mariam Baig,28.0,m,CUSTOMER SUPPORT,PROJECT MANAGER,Riyadh,Diploma,23.0,251315.0,416880.0,2.6,poor,2015-04-30,mariam.baig7089@yahoo.com,3930955764
EMP10277,Chen Bukhari,56.0,other,HR,legal counsel,Bangkok,PhD,23.0,4253566.0,194546.0,9.6,B,2006-02-08,chen.bukhari6036@yahoo.com,0559443989
EMP10435,Mia Chaudhry,61.0,Male,finance,legal counsel,Calgary,MBA (Finance),2.0,3433075.0,331467.0,4.0,a+,2006-09-27,mia.chaudhry5647@company.org,4430866033
EMP10091,Luis Iyer,53.0,Female,Operations,VP,Austin,B.Sc,3.0,3142083.0,15322.0,8.6,EXCELLENT,2005-05-12,luis.iyer1820@yahoo.com,2339096477
EMP10433,Mariam Ali,55.0,Other,Logistics,SENIOR DEVELOPER,Perth,MCA,28.0,3088833.0,351031.0,3.3,EXCELLENT,2006-09-24,mariam.ali9633@gmail.com,5706356319
EMP10151,Ava Johnson,48.0,male,LOGISTICS,Procurement Manager,Mumbai,BBA,8.0,311233.0,327510.0,6.9,POOR,2005-08-08,ava.johnson8091@hotmail.com,6331543271
EMP13450,Ravi Pillai,55.0,F,marketing,Scrum Master,Nottingham,B.Sc,8.0,919682.0,116408.0,5.8,D,2018-10-19,ravi.pillai4058@hotmail.com,5084081862
EMP14005,Faisal Li,39.0,M,hr,DevOps Engineer,Austin,BCA,28.0,inf,479847.0,6.3,,2021-01-07,faisal.li825@outlook.com,9036938351
EMP14289,Ali Zhang,59.0,Male,finance,financial analyst,Doha,MBA (HR),19.0,2410075.0,387846.0,9.5,B,2022-02-26,ali.zhang463@company.org,3527611027
EMP10035,John Zhou,26.0,female,procurement,Logistics Coordinator,Nottingham,M.Com,17.0,4044886.0,25624.0,9.5,excellent,2005-02-19,john.zhou8530@company.org,7824431774
EMP13102,Sophia Lewis,42.0,FEMALE,Procurement,qa engineer,Toronto,B.Sc,3.0,393170.0,494469.0,6.9,Good,2017-05-28,sophia.lewis5338@gmail.com,2032056718
EMP11089,Amir Johnson,27.0,m,r&d,director,Montreal,MBBS,,4767326.0,106910.0,5.2,excellent,2009-05-09,amir.johnson1579@hotmail.com,5657456747
EMP12764,Ashley Singh,35.0,MALE,Admin,Project Manager,Bristol,Post Graduate,21.0,1699178.0,32301.0,5.2,excellent,2016-01-20,ashley.singh7172@company.org,3776351350
EMP11270,Karim Davis,52.0,f,ADMIN,HR Manager,Mumbai,B.E,26.0,4888496.0,337687.0,9.3,,2010-01-29,karim.davis8048@hotmail.com,5625418469
EMP11827,Layla Farooq,49.0,male,finance,intern,Manchester,MBA (Finance),12.0,2009495.0,316560.0,1.1,GOOD,2012-04-21,layla.farooq6434@company.org,7137434040
EMP12444,Isabella Singh,41.0,M,OPERATIONS,VP,Vancouver,Ph.D,7.0,3734597.0,331967.0,9.8,A+,2014-10-10,isabella.singh3481@yahoo.com,9025582312
EMP11994,Mohammed Sharma,42.0,female,Engineering,Business Analyst,Sharjah,Diploma,8.0,4761446.0,323902.0,5.7,Good,2012-12-21,mohammed.sharma4255@yahoo.com,6160669951
EMP10014,Ali Ansari,59.0,F,Admin,financial analyst,Sharjah,diploma,1.0,1983916.0,155201.0,5.7,a,2005-01-19,ali.ansari9615@company.org,8931305089
EMP10859,Michael Wu,21.0,Male,finance,procurement manager,Muscat,llb,35.0,847693.0,212164.0,2.7,,2008-06-07,michael.wu3025@yahoo.com,9618705328
EMP12600,Valentina Gupta,48.0,Other,engineering,database admin,Doha,M.Sc,11.0,318313.0,51374.0,2.4,B,2015-05-26,valentina.gupta9107@gmail.com,4574592575
EMP12252,Chen Alvi,27.0,FEMALE,Customer Support,VP,Dubai,M.Sc,30.0,2885152.0,447527.0,2.1,A-,2014-01-02,chen.alvi8365@outlook.com,1304240611
EMP11733,Priya Thomas,57.0,m,procurement,logistics coordinator,Tokyo,MCA,33.0,3461682.0,330373.0,5.8,A+,2011-12-06,priya.thomas2449@hotmail.com,8265205497
EMP11409,Nour Wang,22.0,OTHER,Operations,UX Designer,San Diego,PhD,13.0,4900367.0,101336.0,1.6,excellent,2010-08-20,nour.wang1467@outlook.com,6943520162
EMP13825,Nadia Banerjee,-5.0,Male,Finance,SALES EXECUTIVE,Philadelphia,BTech,33.0,4837878.0,252674.0,6.8,d,2020-04-19,nadia.banerjee6312@yahoo.com,5524033840
EMP14045,Anjali Ramirez,34.0,OTHER,it,PROJECT MANAGER,Manchester,B.Sc,4.0,1951091.0,129207.0,2.6,a,2021-03-06,anjali.ramirez6219@hotmail.com,NA
EMP11059,Rania Iyer,28.0,f,HR,hr manager,Jakarta,mba (finance),14.0,589146.0,478473.0,5.1,POOR,2009-03-26,rania.iyer2138@outlook.com,3198213068
EMP11286,Dina Malik,28.0,f,CUSTOMER SUPPORT,SENIOR DEVELOPER,Surat,Diploma,22.0,700387.0,62663.0,3.4,A-,2010-02-21,dina.malik8074@outlook.com,9076587364
EMP12533,Wang Liu,34.0,Other,OPERATIONS,Software Engineer,Chicago,B.E,34.0,1810020.0,241473.0,3.8,C,,wang.liu2502@gmail.com,5018110419
EMP12763,Luis Taylor,31.0,male,Quality,Security Analyst,Vancouver,BTECH,23.0,2349181.0,332071.0,6.3,Good,2016-01-19,luis.taylor2940@yahoo.com,2027957980
EMP14979,Tariq Hussain,60.0,M,Sales,Team Lead,New York,post graduate,31.0,996296.0,302314.0,3.2,Good,2024-11-30,,5988712279
EMP12242,Hana Siddiqui,48.0,other,Finance,Security Analyst,Hyderabad,BBA,37.0,973270.0,305045.0,4.9,GOOD,2013-12-19,hana.siddiqui7958@hotmail.com,5222954636
EMP11578,Suresh Wilson,35.0,Male,sales,business analyst,Manama,BSc,13.0,1783732.0,210397.0,2.4,excellent,2011-04-24,suresh.wilson7555@gmail.com,2134126464
EMP11866,Pooja Das,57.0,f,ADMIN,SALES EXECUTIVE,Manchester,PhD,22.0,4585020.0,443607.0,3.0,a,2012-06-17,pooja.das2309@yahoo.com,4895677326
EMP14786,Jose Yang,31.0,FEMALE,R&D,Data Analyst,Kolkata,BBA,29.0,1071395.0,63423.0,5.9,Poor,2024-02-22,jose.yang4363@outlook.com,6808019829
EMP12452,Luis Gonzalez,25.0,Female,FINANCE,cloud architect,Bangkok,DIPLOMA,6.0,4849038.0,129175.0,,A,2014-10-22,invalid_email,3546948755
EMP10571,Ali Gupta,38.0,Female,Marketing,hr manager,Manila,mba,19.0,4567685.0,244312.0,3.5,D,2007-04-13,ali.gupta6338@yahoo.com,3083706203
EMP11284,Lucas Huang,29.0,F,SALES,SENIOR DEVELOPER,Sydney,MBBS,23.0,2619038.0,31495.0,2.9,poor,2010-02-18,lucas.huang5745@gmail.com,1036350656
